identity,prefix,nick,first,last,suffix,email,phone,managedBy,priority,bunit,category,watchlist,startDate,endDate,work_city,work_country,work_lat,work_long
tonya.russell,,tonya.russell,Tonya,Russell,,tonya.russell@theFakeTshirtCompany.com,,jessica.brown,medium,IT,normal,false,,,Atlanta,US,33.7490,-84.3880
tyler.brooks,,tyler.brooks,Tyler,Brooks,,tyler.brooks@theFakeTshirtCompany.com,,nicholas.lewis,medium,Engineering,normal,false,,,Boston,US,42.3601,-71.0589
tyrone.allen,,tyrone.allen,Tyrone,Allen,,tyrone.allen@theFakeTshirtCompany.com,,frank.mitchell,medium,Operations,normal,false,,,Atlanta,US,33.7490,-84.3880
vanessa.hill,,vanessa.hill,Vanessa,Hill,,vanessa.hill@theFakeTshirtCompany.com,,robert.wilson,medium,Finance,normal,false,,,Atlanta,US,33.7490,-84.3880
victoria.adams,,victoria.adams,Victoria,Adams,,victoria.adams@theFakeTshirtCompany.com,,olivia.moore,medium,Marketing,normal,false,,,Boston,US,42.3601,-71.0589
whitney.morris,,whitney.morris,Whitney,Morris,,whitney.morris@theFakeTshirtCompany.com,,darren.hayes,medium,Engineering,normal,false,,,Atlanta,US,33.7490,-84.3880
william.jackson,,william.jackson,William,Jackson,,william.jackson@theFakeTshirtCompany.com,,robert.wilson,medium,Finance,normal,false,,,Boston,US,42.3601,-71.0589
william.rodriguez,,william.rodriguez,William,Rodriguez,,william.rodriguez@theFakeTshirtCompany.com,,amelia.collins,medium,Engineering,normal,false,,,Austin,US,30.2672,-97.7431
wyatt.anderson,,wyatt.anderson,Wyatt,Anderson,,wyatt.anderson@theFakeTshirtCompany.com,,zoey.collins,medium,Sales,normal,false,,,Austin,US,30.2672,-97.7431
yolanda.henderson,,yolanda.henderson,Yolanda,Henderson,,yolanda.henderson@theFakeTshirtCompany.com,,jessica.brown,medium,IT,normal,false,,,Atlanta,US,33.7490,-84.3880
zara.brooks,,zara.brooks,Zara,Brooks,,zara.brooks@theFakeTshirtCompany.com,,robert.wilson,medium,Finance,normal,false,,,Boston,US,42.3601,-71.0589
zoe.reed,,zoe.reed,Zoe,Reed,,zoe.reed@theFakeTshirtCompany.com,,aria.ramirez,medium,HR,normal,false,,,Boston,US,42.3601,-71.0589
zoey.collins,,zoey.collins,Zoey,Collins,,zoey.collins@theFakeTshirtCompany.com,,margaret.taylor,medium,Sales,normal,false,,,Austin,US,30.2672,-97.7431
zoey.edwards,,zoey.edwards,Zoey,Edwards,,zoey.edwards@theFakeTshirtCompany.com,,robert.wilson,medium,Finance,normal,false,,,Boston,US,42.3601,-71.0589
zoey.young,,zoey.young,Zoey,Young,,zoey.young@theFakeTshirtCompany.com,,zoey.collins,medium,Sales,normal,false,,,Austin,US,30.2672,-97.7431
